run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
binja_eval_results,binja_tydamin_ep35,coreutils_x64_O3_5hops,coreutils_x64_O3_bench_5hops,coreutils,x64,O3,10615.0,99.88,12,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,17,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,coreutils_arm64_O0_5hops,coreutils_arm64_O0_bench_5hops,coreutils,arm64,O0,16290.0,99.76,20,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,10,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,coreutils_arm64_O3_5hops,coreutils_arm64_O3_bench_5hops,coreutils,arm64,O3,10426.0,99.85,12,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,9,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,coreutils_arm64_O2_5hops,coreutils_arm64_O2_bench_5hops,coreutils,arm64,O2,9277.0,100.0,11,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,complex_5hops,complex_5hops,complex_5hops,,,,,1,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,resym_test_5hops,resym_test_5hops,resym_test_5hops,,,,,1,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,14,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,complex_5hops,complex_bench_5hops,complex_5hops,,,15511.0,99.92,17,Only Binary Ninja
binja_eval_results,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,22,Only Binary Ninja
binja_eval_results,binja_resym_train_ep35,resym_test_5hops,resym_test_bench_5hops,resym_test_5hops,,,22237.0,99.9,24,Only Binary Ninja
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,tydamin_sample_5hops,tydamin_sample_5hops,tydamin_sample_5hops,,,185716.0,46.71,1082,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,249,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x64_O0_5hops,coreutils_x64_O0_5hops,coreutils,x64,O0,55613.0,59.2,254,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,258,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,coreutils_x86_O1_5hops,coreutils_x86_O1_5hops,coreutils,x86,O1,46966.0,65.49,262,Binary Ninja on Ghidra
binjaOnDragonOriginalDatasets,binja_tydamin_ep35,Dragon,Dragon,Dragon,,,,,345,Binary Ninja on Ghidra
